freq,S11,patch_length,substrate_height
4.056000233,-0.324494139,8,0.8
4.065000057,-0.334531721,8,0.8
4.073999882,-0.347542887,8,0.8
4.083000183,-0.363681703,8,0.8
4.092000008,-0.383001737,8,0.8
4.100999832,-0.405450497,8,0.8
4.110000134,-0.430862617,8,0.8
4.118999958,-0.458946475,8,0.8
4.127999783,-0.489295105,8,0.8
4.137000084,-0.52138564,8,0.8
4.145999908,-0.554584646,8,0.8
4.15500021,-0.588167404,8,0.8
4.164000034,-0.621336555,8,0.8
4.172999859,-0.653252767,8,0.8
4.18200016,-0.683059321,8,0.8
4.190999985,-0.709918732,8,0.8
4.199999809,-0.733052901,8,0.8
4.209000111,-0.751776894,8,0.8
4.217999935,-0.765532254,8,0.8
4.227000237,-0.77391282,8,0.8
4.236000061,-0.776686007,8,0.8
4.244999886,-0.773807097,8,0.8
4.254000187,-0.765408896,8,0.8
4.263000011,-0.751806057,8,0.8
4.271999836,-0.733464711,8,0.8
4.281000137,-0.710982352,8,0.8
4.289999962,-0.68505679,8,0.8
4.298999786,-0.656455638,8,0.8
4.308000088,-0.625979843,8,0.8
4.316999912,-0.594436478,8,0.8
4.326000214,-0.562605243,8,0.8
4.335000038,-0.531221101,8,0.8
4.343999863,-0.500946728,8,0.8
4.353000164,-0.472368137,8,0.8
4.361999989,-0.445970312,8,0.8
4.370999813,-0.422138989,8,0.8
4.380000114,-0.401154169,8,0.8
4.388999939,-0.38319235,8,0.8
4.397999763,-0.368324197,8,0.8
4.407000065,-0.356522069,8,0.8
4.415999889,-0.347669652,8,0.8
4.425000191,-0.341568014,8,0.8
4.434000015,-0.337949764,8,0.8
4.44299984,-0.336491747,8,0.8
4.452000141,-0.336828416,8,0.8
4.460999966,-0.338571147,8,0.8
4.46999979,-0.34132113,8,0.8
4.479000092,-0.344687955,8,0.8
4.487999916,-0.348304934,8,0.8
4.497000217,-0.351843031,8,0.8
4.506000042,-0.355018755,8,0.8
4.514999866,-0.35761192,8,0.8
4.524000168,-0.359462879,8,0.8
4.532999992,-0.36047881,8,0.8
4.541999817,-0.360633782,8,0.8
4.551000118,-0.359961836,8,0.8
4.559999943,-0.358550732,8,0.8
4.568999767,-0.356534818,8,0.8
4.578000069,-0.354080234,8,0.8
4.586999893,-0.351376394,8,0.8
4.596000195,-0.348621945,8,0.8
4.605000019,-0.346014851,8,0.8
4.613999844,-0.343734851,8,0.8
4.623000145,-0.341947407,8,0.8
4.631999969,-0.340781322,8,0.8
4.640999794,-0.340332984,8,0.8
4.650000095,-0.340656697,8,0.8
4.65899992,-0.341767233,8,0.8
4.668000221,-0.343641057,8,0.8
4.677000046,-0.346216652,8,0.8
4.68599987,-0.349395855,8,0.8
4.695000172,-0.353062297,8,0.8
4.703999996,-0.357072938,8,0.8
4.712999821,-0.361278346,8,0.8
4.722000122,-0.365524828,8,0.8
4.730999947,-0.369665325,8,0.8
4.739999771,-0.373569127,8,0.8
4.749000072,-0.377120052,8,0.8
4.757999897,-0.380234097,8,0.8
4.767000198,-0.382854543,8,0.8
4.776000023,-0.384956709,8,0.8
4.784999847,-0.386548643,8,0.8
4.794000149,-0.387668721,8,0.8
4.802999973,-0.388383043,8,0.8
4.811999798,-0.388780264,8,0.8
4.821000099,-0.388964943,8,0.8
4.829999924,-0.389054328,8,0.8
4.839000225,-0.389167139,8,0.8
4.84800005,-0.389421113,8,0.8
4.856999874,-0.38992175,8,0.8
4.866000175,-0.390761189,8,0.8
4.875,-0.392014351,8,0.8
4.883999825,-0.393729449,8,0.8
4.893000126,-0.395931014,8,0.8
4.90199995,-0.398618774,8,0.8
4.910999775,-0.401763846,8,0.8
4.920000076,-0.405320346,8,0.8
4.928999901,-0.409216337,8,0.8
4.938000202,-0.413368786,8,0.8
4.947000027,-0.417680715,8,0.8
4.955999851,-0.422054779,8,0.8
4.965000153,-0.426387671,8,0.8
4.973999977,-0.430589197,8,0.8
4.982999802,-0.434576062,8,0.8
4.992000103,-0.438283017,8,0.8
5.000999928,-0.441661507,8,0.8
5.010000229,-0.444685143,8,0.8
5.019000053,-0.447351949,8,0.8
5.027999878,-0.44967938,8,0.8
5.037000179,-0.451707013,8,0.8
5.046000004,-0.453489154,8,0.8
5.054999828,-0.455099092,8,0.8
5.06400013,-0.456617225,8,0.8
5.072999954,-0.458128667,8,0.8
5.081999779,-0.459720883,8,0.8
5.09100008,-0.46147594,8,0.8
5.099999905,-0.463467262,8,0.8
5.109000206,-0.465754098,8,0.8
5.118000031,-0.468382834,8,0.8
5.126999855,-0.471377756,8,0.8
5.136000156,-0.474747115,8,0.8
5.144999981,-0.47847885,8,0.8
5.153999805,-0.48254253,8,0.8
5.163000107,-0.486891273,8,0.8
5.171999931,-0.491465873,8,0.8
5.181000233,-0.496195736,8,0.8
5.190000057,-0.501005777,8,0.8
5.198999882,-0.505817335,8,0.8
5.208000183,-0.510555571,8,0.8
5.217000008,-0.515156727,8,0.8
5.225999832,-0.519558474,8,0.8
5.235000134,-0.523720241,8,0.8
5.243999958,-0.527615995,8,0.8
5.252999783,-0.531236586,8,0.8
5.262000084,-0.534587171,8,0.8
5.270999908,-0.537693112,8,0.8
5.28000021,-0.540595382,8,0.8
5.289000034,-0.543345604,8,0.8
5.297999859,-0.546006486,8,0.8
5.30700016,-0.548646051,8,0.8
5.315999985,-0.551335368,8,0.8
5.324999809,-0.554140729,8,0.8
