Frequency(GHz),Substrate_Height(mm),Dielectric_Constant,Patch_Length(mm),Patch_Width(mm),Substrate_Length(mm),Substrate_Width(mm)
1.0,2.3947,3.4286,80.4472,100.8032,94.8156,115.1716
1.0,2.3947,4.1429,73.2715,93.5414,87.6399,107.9099
1.0,2.3947,4.8571,67.7263,87.6523,82.0947,102.0207
1.0,2.3947,5.5714,63.2742,82.7516,77.6427,97.12
1.0,2.3947,6.2857,59.5973,78.5905,73.9658,92.9589
1.0,2.3947,7.0,56.4936,75.0,70.8621,89.3684
1.0,2.3947,7.7143,53.828,71.8605,68.1964,86.2289
1.0,2.3947,8.4286,51.5059,69.0849,65.8743,83.4533
1.0,2.3947,9.1429,49.4594,66.608,63.8278,80.9764
1.0,2.3947,9.8571,47.6377,64.3796,62.0061,78.7481
1.0,2.3947,10.5714,46.0024,62.361,60.3709,76.7294
1.0,2.3947,11.2857,44.5238,60.521,58.8922,74.8894
1.0,2.3947,12.0,43.1781,58.8348,57.5466,73.2033
1.0,2.6316,2.0,104.68,122.4745,120.4694,138.264
1.0,2.6316,2.7143,90.1507,110.0699,105.9402,125.8594
1.0,2.6316,3.4286,80.3665,100.8032,96.156,116.5927
1.0,2.6316,4.1429,73.2024,93.5414,88.9919,109.3309
1.0,2.6316,4.8571,67.6643,87.6523,83.4537,103.4418
1.0,2.6316,5.5714,63.2168,82.7516,79.0063,98.5411
1.0,2.6316,6.2857,59.5429,78.5905,75.3324,94.38
1.0,2.6316,7.0,56.4413,75.0,72.2307,90.7895
1.0,2.6316,7.7143,53.7769,71.8605,69.5664,87.65
1.0,2.6316,8.4286,51.4557,69.0849,67.2452,84.8744
1.0,2.6316,9.1429,49.4096,66.608,65.1991,82.3974
1.0,2.6316,9.8571,47.5882,64.3796,63.3777,80.1691
1.0,2.6316,10.5714,45.953,62.361,61.7425,78.1504
1.0,2.6316,11.2857,44.4743,60.521,60.2637,76.3105
1.0,2.6316,12.0,43.1284,58.8348,58.9179,74.6243
1.0,2.8684,2.0,104.5368,122.4745,121.7473,139.685
1.0,2.8684,2.7143,90.0467,110.0699,107.2573,127.2804
1.0,2.8684,3.4286,80.2823,100.8032,97.4928,118.0138
1.0,2.8684,4.1429,73.1294,93.5414,90.34,110.752
1.0,2.8684,4.8571,67.5982,87.6523,84.8088,104.8628
1.0,2.8684,5.5714,63.1552,82.7516,80.3658,99.9621
1.0,2.8684,6.2857,59.4843,78.5905,76.6948,95.8011
1.0,2.8684,7.0,56.3845,75.0,73.595,92.2105
1.0,2.8684,7.7143,53.7214,71.8605,70.9319,89.071
1.0,2.8684,8.4286,51.4009,69.0849,68.6115,86.2955
1.0,2.8684,9.1429,49.3553,66.608,66.5658,83.8185
1.0,2.8684,9.8571,47.5341,64.3796,64.7446,81.5902
1.0,2.8684,10.5714,45.8989,62.361,63.1094,79.5715
1.0,2.8684,11.2857,44.42,60.521,61.6306,77.7315
1.0,2.8684,12.0,43.074,58.8348,60.2845,76.0454
1.0,3.1053,2.0,104.3912,122.4745,123.0227,141.1061
1.0,3.1053,2.7143,89.9397,110.0699,108.5713,128.7015
1.0,3.1053,3.4286,80.1947,100.8032,98.8262,119.4348
1.0,3.1053,4.1429,73.0529,93.5414,91.6845,112.173
1.0,3.1053,4.8571,67.5284,87.6523,86.16,106.2839
1.0,3.1053,5.5714,63.0897,82.7516,81.7213,101.3832
1.0,3.1053,6.2857,59.4216,78.5905,78.0531,97.2221
1.0,3.1053,7.0,56.3236,75.0,74.9552,93.6316
1.0,3.1053,7.7143,53.6617,71.8605,72.2933,90.4921
1.0,3.1053,8.4286,51.342,69.0849,69.9735,87.7165
1.0,3.1053,9.1429,49.2967,66.608,67.9283,85.2395
1.0,3.1053,9.8571,47.4757,64.3796,66.1072,83.0112
1.0,3.1053,10.5714,45.8405,62.361,64.472,80.9925
1.0,3.1053,11.2857,44.3614,60.521,62.993,79.1526
1.0,3.1053,12.0,43.0151,58.8348,61.6467,77.4664
1.0,3.3421,2.0,104.2433,122.4745,124.2959,142.5271
